Date,Price,Open,High,Low,Change %
01-06-1987,8.371,8.371,8.371,8.371,-1.54%
01-05-1987,8.502,8.502,8.502,8.502,3.91%
01-04-1987,8.182,8.182,8.182,8.182,9.25%
01-03-1987,7.489,7.489,7.489,7.489,4.35%
01-02-1987,7.177,7.177,7.177,7.177,0.24%
01-01-1987,7.16,7.16,7.16,7.16,-0.83%
01-12-1986,7.22,7.22,7.22,7.22,0.18%
01-11-1986,7.207,7.207,7.207,7.207,-1.41%
01-10-1986,7.31,7.31,7.31,7.31,-1.64%
01-09-1986,7.432,7.432,7.432,7.432,7.35%
01-08-1986,6.923,6.923,6.923,6.923,-5.54%
01-07-1986,7.329,7.329,7.329,7.329,-0.12%
01-06-1986,7.338,7.338,7.338,7.338,-9.01%
01-05-1986,8.065,8.065,8.065,8.065,9.44%
01-04-1986,7.369,7.369,7.369,7.369,-0.14%
01-03-1986,7.379,7.379,7.379,7.379,-9.38%
01-02-1986,8.143,8.143,8.143,8.143,-9.96%
01-01-1986,9.044,9.044,9.044,9.044,0.63%
01-12-1985,8.987,8.987,8.987,8.987,-6.67%
01-11-1985,9.629,9.629,9.629,9.629,-3.61%
01-10-1985,9.99,9.99,9.99,9.99,-2.90%
01-09-1985,10.288,10.288,10.288,10.288,-0.33%
01-08-1985,10.322,10.322,10.322,10.322,-2.22%
01-07-1985,10.556,10.556,10.556,10.556,3.13%
01-06-1985,10.236,10.236,10.236,10.236,-0.52%
01-05-1985,10.289,10.289,10.289,10.289,-9.71%
01-04-1985,11.396,11.396,11.396,11.396,-2.07%
01-03-1985,11.637,11.637,11.637,11.637,-2.43%
01-02-1985,11.927,11.927,11.927,11.927,7.01%
01-01-1985,11.146,11.146,11.146,11.146,-3.43%
01-12-1984,11.542,11.542,11.542,11.542,-0.44%
01-11-1984,11.593,11.593,11.593,11.593,-1.58%
01-10-1984,11.779,11.779,11.779,11.779,-5.48%
01-09-1984,12.462,12.462,12.462,12.462,-3.08%
01-08-1984,12.858,12.858,12.858,12.858,-0.30%
01-07-1984,12.897,12.897,12.897,12.897,-6.73%
01-06-1984,13.827,13.827,13.827,13.827,-0.33%
01-05-1984,13.873,13.873,13.873,13.873,8.39%
01-04-1984,12.799,12.799,12.799,12.799,2.38%
01-03-1984,12.502,12.502,12.502,12.502,4.13%
01-02-1984,12.006,12.006,12.006,12.006,3.16%
01-01-1984,11.638,11.638,11.638,11.638,-1.21%
01-12-1983,11.781,11.781,11.781,11.781,1.46%
01-11-1983,11.611,11.611,11.611,11.611,-0.82%
01-10-1983,11.707,11.707,11.707,11.707,2.75%
01-09-1983,11.394,11.394,11.394,11.394,-3.42%
01-08-1983,11.798,11.798,11.798,11.798,0.53%
01-07-1983,11.736,11.736,11.736,11.736,7.41%
01-06-1983,10.926,10.926,10.926,10.926,0.66%
01-05-1983,10.854,10.854,10.854,10.854,6.00%
01-04-1983,10.24,10.24,10.24,10.24,-3.43%
01-03-1983,10.604,10.604,10.604,10.604,3.78%
01-02-1983,10.218,10.218,10.218,10.218,-5.16%
01-01-1983,10.774,10.774,10.774,10.774,4.41%
01-12-1982,10.319,10.319,10.319,10.319,-8.33%
01-11-1982,11.257,11.257,11.257,11.257,1.21%
01-10-1982,11.122,11.122,11.122,11.122,-7.26%
01-09-1982,11.993,11.993,11.993,11.993,-6.25%
01-08-1982,12.792,12.792,12.792,12.792,-6.36%
01-07-1982,13.661,13.661,13.661,13.661,-5.18%
01-06-1982,14.407,14.407,14.407,14.407,4.58%
01-05-1982,13.776,13.776,13.776,13.776,-0.49%
01-04-1982,13.844,13.844,13.844,13.844,-2.15%
01-03-1982,14.148,14.148,14.148,14.148,1.45%
01-02-1982,13.946,13.946,13.946,13.946,-1.19%
01-01-1982,14.114,14.114,14.114,14.114,1.10%
